id,nombre,longitud,fade,tipos_de_pelo,familia_actual,tiene_foto
esq2023-029-flequillo-largo-rizado-y-corto-en-laterales-y-parte-de-atras,Flequillo largo rizado y corto en laterales y parte de atrás,medio,alto,rizado,fade_undercut_textura,si
esq2023-030-rastas-con-pelo-corto-y-coleta,Rastas con pelo corto y coleta,corto,ninguno,rizado/afro,rastas_trenzas_locs,si
esq2023-031-peinado-con-gomina-hacia-detras-manteniendo-cierto-volumen,Peinado con gomina hacia detrás manteniendo cierto volumen,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-032-pelo-engominado-con-mono-bajo-deshecho,Pelo engominado con moño bajo deshecho,largo,ninguno,liso/ondulado,recogido_mono_coleta,si
esq2023-033-melena-extra-larga-con-raya-en-medio-y-puntas-decoloradas,Melena extra larga con raya en medio y puntas decoloradas,extra_largo,ninguno,liso/ondulado,melena_larga,si
esq2023-034-tupe-retro,Tupé retro,corto,bajo,liso/ondulado,tupe_pompadour_clasico,si
esq2023-035-melena-corta-con-raya-en-medio,Melena corta con raya en medio,corto,ninguno,liso/ondulado,clasico_raya_lateral,si
esq2023-036-con-raya-en-diagonal-y-rubio-platino,Con raya en diagonal y rubio platino,medio,ninguno,liso,corte_texturizado_general,si
esq2023-037-pelo-corto-peinado-hacia-delante-con-textura,Pelo corto peinado hacia delante con textura,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-038-pelo-corto-con-zona-superior-mas-larga-de-efecto-trasquilon,Pelo corto con zona superior más larga de efecto trasquilón,corto,bajo,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-039-pelo-corto-peinado-con-efecto-mojado,Pelo corto peinado con efecto mojado,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-040-pelo-muy-rizado-de-peinado-casi-afro,"Pelo muy rizado de peinado casi ""afro""",medio,ninguno,rizado/afro,afro_rizado_voluminoso,si
esq2023-041-melena-corta-peinada-hacia-atras-de-efecto-despeinado,Melena corta peinada hacia atrás de efecto despeinado,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-042-pelo-corto-peinado-hacia-atras-con-volumen,Pelo corto peinado hacia atrás con volumen,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-043-tupe-con-mechon-de-inspiracion-rockabilly,Tupé con mechón de inspiración rockabilly,corto,bajo,liso/ondulado,tupe_pompadour_clasico,si
